,text,lang,country,Source,Location,Name,Screen_Name,URL,Geo_enabled,Negative,Neutral,Positive,Compound
0,"Tom Brady is now the first NFL player to produce 80,000 total yards. He's also 5-3 in the Super Bowl and gave the P… https://t.co/MmNMW7DnR1",English,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","New Jersey, USA",JR Parachini,parachini_jr,,True,0.0,0.769,0.231,0.5994
1,"RT @KickapooXC: Way to end the season strong at State XC Chiefs! (Pictured Senior Josh Lawson, Senior Anna Weiner, Senior Kaden Mitchell, J…",English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Springfield, MO",KickapooHighSchool,KickapooChiefs,https://www.sps.org/Kickapoo,False,0.0,0.845,0.155,0.5106
2,RT @SportsTalkJo3y: IN DEPTH BREAKDOWN: TOM BRADY WEEK 9 https://t.co/kqufN8Nk53,English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pittsburgh, PA",Jordan 📷,JHendyy,https://www.youtube.com/channel/UCo_LkFhCYhzhwzMtnNGLyDA,False,0.0,1.0,0.0,0.0
3,"RT @NFL: Brady.
Rodgers.
@Patriots.
@packers.

Here. We. GO! @SNFonNBC #GoPats #GoPackGo https://t.co/vlymNt2Lts",English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tyler, TX ",The Saw,thesaw1216,,True,0.0,1.0,0.0,0.0
4,RT @AllSaintsBlog: Drew Brees threw for 4 TDs and over 300 yards against the best team in the league and is still somehow talked about less…,English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Somewhere on the Diamond,Tedric' Anderson,teddo84,,False,0.0,0.741,0.259,0.6369
5,@rickeyeasterjr @FOXSports @getnickwright I just can’t say Brady is the best when Matt Cassel goes 11-5 in that sys… https://t.co/VngiUXBf3W,English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,.,thosepackerstho,,False,0.0,0.682,0.318,0.6369
6,RT @trey_hahn3: Brady &gt; Rodgers. Don’t @ me.,English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Garett Juergens,jerk_baby22,,True,0.0,0.656,0.344,0.2732
7,"RT @NFL: .@AaronRodgers12 and the @packers. #GoPackGo
Tom Brady and the @Patriots. #GoPats
Who ya got on #SNF?

📺: #GBvsNE on NBC https://t…",English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tyler, TX ",The Saw,thesaw1216,,True,0.0,1.0,0.0,0.0
8,"@chris41299 @ManzielStan @danielmatlock29 @RoarsAway @espn Brady has a better qbr, lower int %, better td-int ratio… https://t.co/aj0Z0N3CxW",English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hooksett, NH",Alec patterson,Alecpatnh,,True,0.147,0.467,0.387,0.5574
9,Brady is and will always be the #Goat,English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Joey,joeycarrion_,http://thedfsdose.com,True,0.0,1.0,0.0,0.0
10,"RT @PatsMilitia: Brady now has 80,000 career passing yards in regular season and postseason, passing Peyton Manning for most in NFL history…",English,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",México,Samuel Eduardo B.G.,jimmysamitos39,,False,0.0,1.0,0.0,0.0
11,"RT @JamesPalmerTV: Last night, Tom Brady became the NFL's all-time leader in total yards (80,074 total yards, including playoffs)",English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BOS,Stephanie,salfarobelo,,True,0.0,1.0,0.0,0.0
12,"RT @FTFonFS1: ""Last night it was Bill Belichick and the Patriots coaching staff. You saw the Pats scheme their way to a win where, through…",English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Danny,Rambo_333,,False,0.0,0.774,0.226,0.5859
13,"RT @NFL_Memes: Rodgers vs Brady, a comprehensive comparison https://t.co/jaVYMIo3GO",English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","North Tonawanda, NY",Murch,Murch_88,,True,0.0,0.75,0.25,0.25
14,RT @SportsTalkJo3y: I honestly don’t understand how every week the Patriots scheme their receivers so WIDE OPEN for the last 20 years. Brad…,English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Wisconsin, USA",Joshus Haberman,JoshuaHaberman1,,False,0.0,0.786,0.214,0.4588
15,God help me if Tom Brady is still the Pats' QB in 2022,English,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,Start Lamar,RavensOrioles21,,False,0.0,0.51,0.49,0.5859
16,Please don't put Tom Brady's outfit #12,English,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Los Angeles, CA",MyLittleChoji,LittleChoji,,False,0.0,0.635,0.365,0.3182
17,RT @NBCSportsPR: Aaron Rodgers &amp; @packers vs. Tom Brady &amp; @Patriots delivers for NBC Sunday Night Football... https://t.co/Lp5e6VlDzf,English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Rio de Janeiro ,WORLD SERIES CHAMPIONS (7-2) (3-4-1) (4-6) (3-2),bieloliveira97_,,True,0.0,1.0,0.0,0.0
18,Is this not truth????,English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",posted,T-SMACK,FrankkCastleee,http://www.hudl.com/athlete/3903272/highlights/57df32003bd81440b4005616,True,0.0,0.303,0.697,0.3182
19,RT @MySportsUpdate: Tom Brady and the #Patriots scored more points on Sunday (31) than the other three teams in the AFC East had combined (…,English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Jon Villanueva,jon_villanueva9,,False,0.0,1.0,0.0,0.0
20,@DeeepThreat @SchalkerMyth0s @ProFootballTalk I’m agreeing with you for the most part but even Brady has openly con… https://t.co/WmU8161xVC,English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dallas, TX",Justin Allen,JustinBartels2,,False,0.0,0.745,0.255,0.34
21,Pats fans can’t stand the idea that Tom  brady is a glorified Alex Smith,English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,MessiMagic,Gbe_Savvv,,False,0.0,0.708,0.292,0.5106
22,Brady believe https://t.co/FBDRvK1How,English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Millbrook, NY",Brady Mr Sunshine,brady_sunshine,,False,0.0,1.0,0.0,0.0
23,"RT @ChicagoHairBear: @RyanHeckmanFS @bearsaddict1976 &amp; I watched Brady go 0 for 7 at one point last night. AND HES THE GOAT. Mitch is fine,…",English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sioux Falls, SD",bears are playoff bound,bearsaddict1976,,True,0.0,0.899,0.101,0.2023
24,"RT @NFL_Memes: Rodgers vs Brady, a comprehensive comparison https://t.co/jaVYMIo3GO",English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MIA • JAX,CARVAJAL,DevinThatTweets,,True,0.0,0.75,0.25,0.25
25,"@BADodson24 @chris41299 @Vendictar @Colts_squad @CodyZeller I think you’re missing the point, and you are putting u… https://t.co/Jb4SPXmgZ3",English,United States,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Richmond, VA",Evan Vice,EvanRVice,,True,0.268,0.732,0.0,-0.296
26,"RT @NFL: Tom Brady goes deep down the sideline to @Josh_GordonXII! #GoPats

📺: #GBvsNE on NBC https://t.co/ExL7SNslnU",English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tyler, TX ",The Saw,thesaw1216,,True,0.0,1.0,0.0,0.0
27,Me gusta el azul van a regalarlo,Spanish,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Carmen Maestre,nikirai16,,False,0.0,1.0,0.0,0.0
28,RT @RyanHannable: Aaron Rodgers now has more road losses (41) than Tom Brady (40) even though Brady has played 52 more road games.,English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NH,Chris Schofield,cschof_LFD109,,False,0.158,0.702,0.14,-0.0772
29,RT @NBCSportsPR: Aaron Rodgers &amp; @packers vs. Tom Brady &amp; @Patriots delivers for NBC Sunday Night Football... https://t.co/Lp5e6VlDzf,English,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NM/MN,Michelle,mmwlawtaos1,,False,0.0,1.0,0.0,0.0
